Probability_-1.2236392998687713,Probability_0.0023293404165421,Probability_1.2282979807018557
2.860541141189277e-10,0.9854039571826962,0.014596042531249803
1.7296933964004008e-10,0.6910160725418484,0.3089839272851822
0.9997248445098347,1.326177604678981e-22,0.00027515549016541847
3.598754882138186e-05,9.461464734347438e-08,0.9999639178365313
0.005920704950711473,5.6210157690172496e-11,0.9940792949930785
8.108062498036716e-11,0.9968538470228593,0.003146152896060128
3.0432050790841967e-11,0.8846549190348039,0.11534508093476423
0.0007047693720560974,1.42194819881863e-09,0.9992952292059957
4.0459884004331825e-07,0.0006010486293885029,0.9993985467717715
0.995304690008066,9.466247190979536e-20,0.00469530999193402
0.9999999986705419,6.502893739017943e-37,1.3294581339577948e-09
3.5132540631715764e-19,0.9999999704911138,2.9508886292353967e-08
5.244152754185527e-08,0.003207048334466049,0.9967928992240064
4.585957074770339e-09,0.9680015960153826,0.031998399398660324
4.037238225377011e-09,0.9247767136230184,0.0752232823397434
0.0004148731511764725,4.4663907083872695e-09,0.9995851223824329
0.9999998040613514,1.2902988850642044e-30,1.9593864857046148e-07
4.693204200473747e-24,0.9999999999437672,5.623285071356884e-11
5.5973199366282234e-08,0.0011225152101433094,0.9988774288166573
0.002900261982455374,6.92687158833146e-11,0.9970997379482759
0.9999999999961449,8.468513409838888e-43,3.8552217945238515e-12
5.804319092606684e-07,0.0008505261584188692,0.9991488934096718
0.009447744523345448,1.1553120061957195e-10,0.9905522553611235
5.3911409947295605e-05,9.271320793173646e-07,0.9999451614579734
0.9999961737661447,1.4495777830550086e-27,3.826233855325777e-06
0.9999946188862795,5.562956803298861e-27,5.381113720554178e-06
1.19890587107727e-31,0.9999999999999998,3.119019462609979e-16
0.9999999987594248,1.80135984430758e-36,1.2405752668415348e-09
0.9999958170548355,3.357109837119653e-28,4.182945164455777e-06
1.1667894485935543e-23,0.9999999999629026,3.7097363450920925e-11
0.9999962071524994,8.892095935615994e-28,3.79284750069831e-06
1.681579256648108e-18,0.9999999165746037,8.34253961866211e-08
0.9995000724052221,2.1957302829495992e-21,0.0004999275947778204
1.4203385496611693e-22,0.9999999996513071,3.486928882126092e-10
5.850535114027321e-21,0.9999999157875339,8.421246618025444e-08
0.9999999997472926,9.067232401459068e-38,2.527074300211329e-10
0.9840801246831213,9.657774538311927e-18,0.015919875316878666
2.061962693106475e-14,0.9999646177898623,3.5382210117036123e-05
4.142305879647761e-15,0.9999931835556503,6.816444345553708e-06
2.384842857841352e-07,0.7146676088488018,0.2853321526669123
1.3019148376868244e-06,0.00016272810634758986,0.9998359699788147
0.9999804105320991,5.153446575239064e-25,1.9589467900877374e-05
0.00026205832065710494,1.0523838008835927e-08,0.9997379311555049
3.0743420496313075e-06,2.8705232984430125e-06,0.9999940551346519
5.47677247759729e-09,0.24020405090815158,0.759795943615076
0.9999999999980298,4.4475379359251794e-43,1.9702758938133522e-12
0.12054909507031644,2.5163408681487238e-12,0.8794509049271673
0.9999848101072755,1.1853068902049074e-25,1.5189892724565483e-05
0.0006845244531437726,6.075949550230132e-10,0.9993154749392612
1.157924944478025e-15,0.9999934911642643,6.508835734654003e-06
0.9999921964945718,1.0427105386539625e-26,7.803505428144907e-06
0.9988425915260766,1.7827194493912034e-21,0.0011574084739233164
8.597836443224378e-15,0.999381695517037,0.0006183044829542499
3.650456897244216e-21,0.9999999989872403,1.012759703853964e-09
0.9982350890070355,3.1661427292056517e-20,0.001764910992964604
8.901318657657255e-08,0.0014252071829859347,0.9985747038038275
2.59134556273729e-06,2.2263892377640187e-05,0.9999751447620597
5.176411585743528e-15,0.9997707397506771,0.00022926024931777892
0.0008563974044480106,1.8892573881016073e-08,0.9991435837029782
7.224489936426093e-15,0.9995343471388289,0.00046565286116374323
1.136491889883467e-20,0.9999999968821309,3.117869163950556e-09
0.9999007318138767,2.065833270723606e-23,9.926818612314035e-05
0.9999999999978086,4.6340160405100715e-43,2.191294666428705e-12
1.7596617821698255e-20,0.9999999973268476,2.673152388242739e-09
0.9999999999963238,7.643703749763485e-43,3.676162224040381e-12
0.999999998248549,5.2994828639478455e-36,1.7514508927183058e-09
2.5593447939355547e-05,1.124440772891637e-06,0.9999732821112878
0.9999960105206599,6.101418051101383e-28,3.989479340185395e-06
2.3500901560297987e-25,0.9999999999979983,2.0016970668558077e-12
5.922175139059514e-06,0.008464211722020124,0.9915298661028409
0.00011148804748127104,3.42730282661274e-08,0.9998884776794904
7.562229159890217e-17,0.999999555500005,4.444999951221952e-07
0.9999980818465934,7.937694037444305e-28,1.9181534065249905e-06
4.958251875274519e-21,0.9999999312986482,6.870135191352779e-08
3.4670162759134056e-05,1.3097906663130227e-06,0.9999640200465746
2.0186344085709431e-22,0.9999999996788862,3.2111378241452617e-10
3.6626649224463247e-06,6.404787501699004e-06,0.9999899325475757
